物資名稱,數量,位置,所屬活動,類別
Tshirt(M),31件,架7層3袋3,基督少年軍,活動用具/遊戲道具
Tshirt(L),12件,架7層3袋3,基督少年軍,活動用具/遊戲道具
Tshirt(XL),2件,架7層3袋3,基督少年軍,活動用具/遊戲道具
Tshirt(2XL),2件,架7層3袋3,基督少年軍,活動用具/遊戲道具
Tshirt(3XL),1件,架7層3袋3,基督少年軍,活動用具/遊戲道具
Tshirt(無碼),7件,架7層3袋3,基督少年軍,活動用具/遊戲道具
著裝禮儀教學套裝(磁石),2套,架7層3,基督少年軍,活動用具/遊戲道具
禮尚往來(發黃),103本,架7層3箱1,基督少年軍,禮物/紀念品
垃圾袋,N/A,架8層1箱1,Circle Painting用完不補,活動用具/遊戲道具
紙碟(大),,架8層1箱1,Circle Painting用完不補,活動用具/遊戲道具
紙碟(中),,架8層1箱1,Circle Painting用完不補,活動用具/遊戲道具
紙碟(小),,架8層1箱1,Circle Painting用完不補,活動用具/遊戲道具
膠杯(大),,架8層1箱1,Circle Painting用完不補,活動用具/遊戲道具
膠杯(中),,架8層1箱1,Circle Painting用完不補,活動用具/遊戲道具
膠杯(小),,架8層1箱1,Circle Painting用完不補,活動用具/遊戲道具
毛巾,,架8層1箱1,Circle Painting用完不補,活動用具/遊戲道具
保鮮紙,,架8層1箱1,Circle Painting用完不補,活動用具/遊戲道具
封箱膠紙,,架8層1箱1,Circle Painting用完不補,活動用具/遊戲道具
索帶,,架8層1箱1,Circle Painting用完不補,活動用具/遊戲道具
寶貼,,架8層1箱1,Circle Painting用完不補,活動用具/遊戲道具
抹手紙,,架8層1箱1,Circle Painting用完不補,活動用具/遊戲道具
畫框,,架8層1箱1,Circle Painting用完不補,活動用具/遊戲道具
畫盆,,架8層1箱1,Circle Painting用完不補,活動用具/遊戲道具
魚絲,,架8層1箱1,Circle Painting用完不補,活動用具/遊戲道具
參考圖卡,,架8層1箱1,Circle Painting用完不補,活動用具/遊戲道具
卡紙,,架8層1箱1,Circle Painting用完不補,活動用具/遊戲道具
畫布,7塊,架8層1箱1旁,Circle Painting,活動用具/遊戲道具
腳架,6個,架8層1箱1旁,Circle Painting,活動用具/遊戲道具
手機架,2個,架8層1箱1旁,Circle Painting,活動用具/遊戲道具
藤籃(大),2個,架8層1,／,活動用具/遊戲道具
藤籃(中),1個,架8層1,／,活動用具/遊戲道具
藤籃(小),7個,架8層1,／,活動用具/遊戲道具
膠杯,70個,架8層1,／,活動用具/遊戲道具
世遺拼圖,5份,架8層1,／,活動用具/遊戲道具
攤位道具1(拉),1個,架8層1,／,活動用具/遊戲道具
攤位道具2(太空搖搖球),1個,架8層1,／,活動用具/遊戲道具
攤位道具3(彩虹板投幣),1個,架8層1,／,活動用具/遊戲道具
攤位道具4(對對碰),1個,架8層1,／,活動用具/遊戲道具
投壼,1,架8層1,／,活動用具/遊戲道具
玩具斧頭,1個,架8層1,／,活動用具/遊戲道具
外出活動藥箱,2個,架8層1,／,活動用具/遊戲道具
計時器,7個,架8層1箱2,／,活動用具/遊戲道具
骰子,118粒,架8層1箱2,／,活動用具/遊戲道具
小棉球,20個,架8層1箱2,／,活動用具/遊戲道具
波子,89粒,架8層1箱2,／,活動用具/遊戲道具
藤圈(大),40個,架8層1箱2,／,活動用具/遊戲道具
藤圈(小),39個,架8層1箱2,／,活動用具/遊戲道具
鉛筆,29枝,架8層2箱1,Circle Painting,繪畫工具
膠擦,15個,架8層2箱1,Circle Painting,繪畫工具
調色盤,12個,架8層2箱1,Circle Painting,繪畫工具
大油刷,50個,架8層2箱1,Circle Painting,繪畫工具
大鐵夾,38個,架8層2箱1,Circle Painting,活動用具/遊戲道具
細鐵夾,1盒,架8層2箱1,Circle Painting,活動用具/遊戲道具
圖釘,2盒,架8層2箱1,Circle Painting,活動用具/遊戲道具
大筆(20號),32枝,架8層2箱1,Circle Painting,繪畫工具
細筆(10號),24枝,架8層2箱1,Circle Painting,繪畫工具
中筆(15號),37枝,架8層2箱1,Circle Painting,繪畫工具
中筆(14號),17枝,架8層2箱1,Circle Painting,繪畫工具
16號筆,6枝,架8層2箱1,Circle Painting,繪畫工具
8號筆,18枝,架8層2箱1,Circle Painting,繪畫工具
4號筆,4枝,架8層2箱1,Circle Painting,繪畫工具
5號,20枝,架8層2箱1,Circle Painting,繪畫工具
幼筆(2號),56枝,架8層2箱1,Circle Painting,繪畫工具
噴壺,11個,架8層2箱1,Circle Painting,活動用具/遊戲道具
圍裙,73條,架8層2箱2,Circle Painting,活動用具/遊戲道具
手袖,20對,架8層2箱2,Circle Painting,活動用具/遊戲道具
瑪利奧網球,1個,架8層2,／,活動用具/遊戲道具
飛行棋遊戲氈,1張,架8層2,／,活動用具/遊戲道具
3in1彈彈棋,2個,架8層2,／,活動用具/遊戲道具
磁性飛行棋,2個,架8層2,／,活動用具/遊戲道具
海盜船企鵝平衡遊戲,1個,架8層2,／,活動用具/遊戲道具
乒乓球,137個,架8層2箱3,／,活動用具/遊戲道具
瘋狂吃豆蛙,2個,架8層2箱4,／,活動用具/遊戲道具
扭扭樂,2個,架8層2箱4,／,活動用具/遊戲道具
氣墊球套裝,1套,架8層2箱4,／,活動用具/遊戲道具
益智迷宮(火綫沖擊),1個,架8層2箱4,／,活動用具/遊戲道具
遙控車,1部,架8層2箱4,／,活動用具/遊戲道具
蜜蜂錘冰塊遊戲,1個,架8層2箱4,／,活動用具/遊戲道具
老鼠芝士平衡塔,1個,架8層2箱4,／,活動用具/遊戲道具
益智足球遊戲,2個,架8層2箱4,／,活動用具/遊戲道具
反應棒(小),1個,架8層2箱4,／,活動用具/遊戲道具
層層疊,4個,架8層2箱4,／,活動用具/遊戲道具
大富翁,1個,架8層2箱4,／,活動用具/遊戲道具
顔料(黑),5瓶,架8層3箱1,Circle Painting用完不補,繪畫工具
顏料(啡),6瓶,架8層3箱1,Circle Painting用完不補,繪畫工具
顏料(橙),2瓶,架8層3箱1,Circle Painting用完不補,繪畫工具
顏料(黃),3瓶,架8層3箱1,Circle Painting用完不補,繪畫工具
顏料(粉紅),2瓶,架8層3箱1,Circle Painting用完不補,繪畫工具
顏料(紫),3瓶,架8層3箱1,Circle Painting用完不補,繪畫工具
顏料(藍),6瓶,架8層3箱1,Circle Painting用完不補,繪畫工具
顏料(淺藍),6瓶,架8層3箱1,Circle Painting用完不補,繪畫工具
顏料(紅),3瓶,架8層3箱1,Circle Painting用完不補,繪畫工具
顏料(綠),4瓶,架8層3箱1,Circle Painting用完不補,繪畫工具
顏料(淺綠),2瓶,架8層3箱1,Circle Painting用完不補,繪畫工具
顏料(橙紅),2瓶,架8層3箱1,Circle Painting用完不補,繪畫工具
顏料(粉綠),4瓶,架8層3箱1,Circle Painting用完不補,繪畫工具
顏料(白),6瓶,架8層3箱1,Circle Painting用完不補,繪畫工具
顏料(螢光綠),1瓶,架8層3箱1,Circle Painting用完不補,繪畫工具
MARKER筆(銀),40枝,架8層3箱1,Circle Painting用完不補,繪畫工具
MARKER筆(金),7枝,架8層3箱1,Circle Painting用完不補,繪畫工具
MARKER筆(白),3枝,架8層3箱1,Circle Painting用完不補,繪畫工具
MARKER筆(藍),1枝,架8層3箱1,Circle Painting用完不補,繪畫工具
MARKER筆(紅),1枝,架8層3箱1,Circle Painting用完不補,繪畫工具
MARKER筆(綠),1枝,架8層3箱1,Circle Painting用完不補,繪畫工具
水桶,1個,架8層3,Circle Painting,活動用具/遊戲道具
桶裝顏料(紅),7枝,架8層3,Circle Painting用完不補,繪畫工具
桶裝顏料(紫),2枝,架8層3,Circle Painting用完不補,繪畫工具
桶裝顏料(藍),2枝,架8層3,Circle Painting用完不補,繪畫工具
桶裝顏料(黑),2枝,架8層3,Circle Painting用完不補,繪畫工具
桶裝顏料(白),1枝,架8層3,Circle Painting用完不補,繪畫工具
桶裝顏料(黃),1枝,架8層3,Circle Painting用完不補,繪畫工具
桶裝顏料(綠),1枝,架8層3,Circle Painting用完不補,繪畫工具
高爾夫球套裝,1套,架8層3,／,活動用具/遊戲道具
跳舞氈,1張,架8層3,／,活動用具/遊戲道具
鋼琴跳舞氈,1張,架8層3,／,活動用具/遊戲道具
反應棒(大),1個,架8層3,／,活動用具/遊戲道具
路營枱,2張,架8層3,／,活動用具/遊戲道具
大專生BANNER,2塊,架8旁箱1,大專生健康檢查,活動用具/遊戲道具
大專生BANNER(阿爽),4個,架8旁箱1,大專生健康檢查,活動用具/遊戲道具
聖誕感恩聚會BANNER(軟),1張,架8旁箱1,／,活動用具/遊戲道具
聖誕感恩聚會BANNER(硬),1張,架8旁箱1,／,活動用具/遊戲道具
24個品格BANNER,1張,架8旁箱1,／,活動用具/遊戲道具
毒報知訊BANNER,1張,架8旁箱1,大專生健康檢查,活動用具/遊戲道具
磨砂膠紙,1卷,架8旁箱1,／,活動用具/遊戲道具
,,,,
備用物資,,,,
蒸氣燙斗,1部,,／,備用物資
抽濕機,1部,,／,備用物資
空氣清新機,1部,,／,備用物資
木圓枱,7張,,滿FUN學堂,備用物資
兒童椅子,16張,,滿FUN學堂,備用物資
活動物資車(暫存),2部,,滿FUN學堂,備用物資
黑色摺椅,20張,,／,備用物資
膠箱,28個,,／,備用物資
膠箱蓋,24個,,／,備用物資
行李箱(中),1個,,／,備用物資
行李箱(大),1個,,／,備用物資
水,15箱,,／,備用物資
購物籃車,1部,,／,備用物資
A3展示架,9個,,／,備用物資
譜架,2個,,／,備用物資
梯形枱,1張,,／,備用物資
長枱(灰),1張,,／,備用物資
木色長枱,3張,,／,備用物資
風扇,2部,,／,備用物資
Projector螢幕(移動),1個,,／,備用物資
辦公室屏風,2套,,／,備用物資
環保水樽,22個,,／,禮物/紀念品
,,,,
,,,,
櫃1,,,,
圖卡,,層1,滿FUN學堂,
玩具,,層2,滿FUN學堂,
玩具,,層3,滿FUN學堂,
桌遊,,層4,滿FUN學堂,
,,,,
櫃2,,,,
圖書,,層1,滿FUN學堂,
圖書,,層2,滿FUN學堂,
圖書、甄別工具,,層3,滿FUN學堂,
圖卡、紙袋,,層4,滿FUN學堂,
,,,,
櫃3,,,,
顏料、手作用具、季度主題教學材料包,,層1,滿FUN學堂,
手作材料,,層2,滿FUN學堂,
主題教學用具,,層3,滿FUN學堂,
一次性用品(用完不補),,層4,滿FUN學堂,
